k,Infidelity,U0,U0_dag,A,A_dag,R0,R0_dag,total_unitaries
0,0.42988328391503,1,0,0,0,0,0,1
1,0.26413857686607,2,1,1,1,1,0,6
2,0.15083015480077,5,4,4,4,3,1,21
3,0.089268626690202,14,13,13,13,8,5,66
4,0.058795912782617,41,40,40,40,22,18,201
5,0.043115865169999,122,121,121,121,63,58,606
