k,Infidelity,U0,U0_dag,A,A_dag,R0,R0_dag,total_unitaries
0,0.83790570919217,1,0,0,0,0,0,1
1,0.79249236452132,2,1,1,1,1,0,6
2,0.740693507483,5,4,4,4,3,1,21
3,0.68374180377012,14,13,13,13,8,5,66
4,0.62337012310225,41,40,40,40,22,18,201
