k,Infidelity,U0,U0_dag,A,A_dag,R0,R0_dag,total_unitaries
0,0.42988328391503,1,0,0,0,0,0,1
1,0.27536301665381,2,1,1,1,1,0,6
2,0.16462515525239,5,4,4,4,3,1,21
3,0.098349404028011,14,13,13,13,8,5,66
4,0.061883287833576,41,40,40,40,22,18,201
5,0.041893908427604,122,121,121,121,63,58,606
