eps,k,Infidelity
0.01,7,0.0071539708918051
0.001,10,0.00038525239335663
0.0001,12,5.4489482030795e-05
1e-05,14,7.7026232544464e-06
1e-06,17,4.0933060929671e-07
1e-07,19,5.7857648005921e-08
1e-08,21,8.1779996108367e-09
1e-09,24,4.3458725507151e-10
1e-10,26,6.1428417907905e-11
1e-11,28,8.6830542755933e-12
1e-12,31,4.6163073363914e-13
1e-13,33,6.5725203057809e-14
1e-14,35,9.3258734068513e-15
1e-15,38,6.6613381477509e-16
