g,E0,E1,gap
0.65,-8.1254168526538,-8.0754845604967,0.049932292157079
0.7,-6.3291812424391,-6.2483216516796,0.080859590759499
0.75,-4.9101338434697,-4.7771896190787,0.13294422439103
0.8,-3.8001379605724,-3.5954090571362,0.20472890343618
0.85,-2.9388313317093,-2.6467447941784,0.2920865375309
0.9,-2.2742367589695,-1.8818660312133,0.39237072775625
0.95,-1.7633096949472,-1.2596451838257,0.50366451112149
1,-1.3713220471812,-0.74927512450831,0.62204692267288
1.05,-1.070745407427,-0.32564989998624,0.74509550744078
1.1,-0.84005398434836,0.03226923886851,0.87232322321687
1.15,-0.6626066763361,0.34363308371698,1.0062397600531
1.2,-0.52565887404519,0.61989961231859,1.1455584863638
1.25,-0.41951955836221,0.86827234974454,1.2877919081068
1.3,-0.33685450305632,1.0959714272158,1.4328259302722
1.35,-0.27212670127943,1.3102969817568,1.5824236830363
1.4,-0.22115770569127,1.514416288345,1.7355739940362
