s,k,Infidelity
0.05,100,0.0036469332860151
0.1,100,8.1203806523433e-07
0.15,93,8.1186435352265e-10
0.2,69,8.7333662524003e-10
0.25,55,7.7981776591685e-10
0.3,45,9.9321284530163e-10
0.35,39,5.9727278678423e-10
0.4,34,5.1146897828147e-10
0.45,30,4.7560833049687e-10
0.5,26,9.7833496859323e-10
0.55,24,4.9290649339895e-10
0.6,24,6.6862348990782e-10
0.65,37,8.2464257644688e-10
0.7,83,9.0137142194635e-10
0.75,100,0.0011867154387843
0.8,100,0.074426708675159
0.85,100,0.13119156989226
0.9,100,0.18181129018863
0.95,100,0.22726235908683
1,100,0.26832597492414
1.05,100,0.30563479097343
1.1,100,0.3397066891806
1.15,100,0.37096974422591
1.2,100,0.39978094746334
1.25,100,0.42644043804044
1.3,100,0.4512024508759
