s,k,Infidelity
0.3,33,5.5880788885077e-10
0.35,28,4.4216874606207e-10
0.4,24,4.345870330269e-10
0.45,21,3.7022562793254e-10
0.5,18,6.7071259657325e-10
0.55,16,6.3166250008351e-10
0.6,15,1.8739454432648e-10
0.65,13,4.8290238474635e-10
0.7,13,4.6412962362297e-10
0.75,15,4.7942050329652e-10
0.8,18,4.5499159995188e-10
0.85,22,5.6718296725933e-10
0.9,28,7.4796724369719e-10
