Energy,
5.3084478815024,0
5.2350392089931,0
5.2350392089931,0
5.2350392089931,0
5.0782039124247,0
5.0782039124247,0
5.0782039124247,0
5.0658556127366,0
5.0658556127366,0
5.0658556127366,0
5.0658556127366,0
5.0658556127366,0
5.0407625563861,0
5.0407625563861,0
5.0407625563861,0
4.9625842401213,0
4.6223837236358,0
4.6223837236358,0
4.6223837236358,0
4.6223837236358,0
4.6223837236358,0
4.6214448057498,0
4.6214448057498,0
4.6214448057498,0
4.6214448057498,0
4.6214448057498,0
4.5927719663354,0
4.5927719663354,0
4.5927719663354,0
4.5927719663354,0
4.5927719663354,0
4.5927719663354,0
4.5927719663354,0
4.4868553834545,0
4.4868553834545,0
4.4868553834545,0
4.3099828579068,0
4.3099828579068,0
4.3099828579068,0
4.2650433856146,0
4.2650433856146,0
4.2650433856146,0
4.2650433856146,0
4.2650433856146,0
4.0743131375807,0
4.0743131375807,0
4.0743131375807,0
4.0743131375807,0
4.0743131375807,0
4.0547647904902,0
4.0069134020487,0
4.0069134020487,0
4.0069134020487,0
3.9571067811866,0
3.9571067811866,0
3.9571067811865,0
3.9571067811865,0
3.9571067811865,0
3.9571067811865,0
3.9571067811865,0
3.8488526294823,0
3.8488526294823,0
3.8488526294823,0
3.8318315741005,0
3.8318315741005,0
3.8318315741005,0
3.7159258262891,0
3.6322903211457,0
3.6322903211457,0
3.6322903211457,0
3.6322903211457,0
3.6322903211457,0
3.597544612925,0
3.5715719195955,0
3.5715719195955,0
3.5715719195955,0
3.5507974756043,0
3.5507974756043,0
3.5507974756043,0
3.5507974756043,0
3.5507974756043,0
3.5422928139391,0
3.5422928139391,0
3.5422928139391,0
3.5422928139391,0
3.5422928139391,0
3.4894557552905,0
3.4894557552905,0
3.4894557552905,0
3.4174519926867,0
3.4174519926867,0
3.4174519926867,0
3.4174519926867,0
3.4174519926867,0
3.4174519926867,0
3.4174519926867,0
3.3762498745804,0
3.3762498745804,0
3.3762498745804,0
3.3677174460976,0
3.3383626620905,0
3.3383626620905,0
3.3383626620905,0
3.3383626620905,0
3.3383626620905,0
3.25,0
3.25,0
3.25,0
3.25,0
3.25,0
3.25,0
3.25,0
3.25,0
3.25,0
3.2030682043295,0
3.2030682043295,0
3.2030682043295,0
3.1894817093135,0
3.1894817093135,0
3.1894817093135,0
3.1452147780075,0
3.1452147780075,0
3.1452147780075,0
3.0492571270383,0
3.0492571270383,0
3.0492571270383,0
3.0491715575409,0
3.0491715575409,0
3.0491715575409,0
3.0491715575409,0
3.0491715575409,0
3.0341238957875,0
3.0341238957875,0
3.0341238957875,0
3.0088190451025,0
2.7883134641973,0
2.7883134641973,0
2.7883134641973,0
2.7883134641973,0
2.7883134641973,0
2.7828319871137,0
2.7828319871137,0
2.7828319871136,0
2.7828319871136,0
2.7828319871136,0
2.7576866125728,0
2.6629180398094,0
2.6629180398094,0
2.6629180398094,0
2.6143348148512,0
2.6143348148512,0
2.6143348148512,0
2.6143348148512,0
2.6143348148512,0
2.6143348148512,0
2.6143348148511,0
2.5791887994816,0
2.5791887994816,0
2.5791887994816,0
2.5791887994816,0
2.5791887994816,0
2.5673501831906,0
2.5673501831906,0
2.5673501831906,0
2.5428932188135,0
2.5428932188135,0
2.5428932188135,0
2.5428932188135,0
2.5428932188135,0
2.5428932188135,0
2.5428932188134,0
2.4911809548975,0
2.4139733149124,0
2.4139733149124,0
2.4139733149124,0
2.4139733149124,0
2.4139733149124,0
2.3754412261267,0
2.3754412261267,0
2.3754412261267,0
2.3754412261267,0
2.3754412261267,0
2.3754412261267,0
2.3754412261267,0
2.3011554472683,0
2.3011554472683,0
2.3011554472683,0
2.2659292327824,0
2.2659292327824,0
2.2659292327824,0
2.25,0
2.25,0
2.25,0
2.25,0
2.25,0
2.25,0
2.25,0
2.2330371398977,0
2.2330371398977,0
2.2330371398977,0
2.2065885997578,0
1.9311733113088,0
1.8869811422381,0
1.8869811422381,0
1.8869811422381,0
1.8869811422381,0
1.8869811422381,0
1.8768637743683,0
1.8768637743683,0
1.8768637743683,0
1.7840741737109,0
1.7681729935131,0
1.7681729935131,0
1.7681729935131,0
1.7077707762642,0
1.7077707762642,0
1.7077707762642,0
1.7077707762642,0
1.7077707762642,0
1.6499033612796,0
1.6499033612796,0
1.6499033612796,0
1.6499033612796,0
1.6499033612796,0
1.6089428144897,0
1.6089428144897,0
1.6089428144897,0
1.6089428144897,0
1.6089428144897,0
1.5306006064494,0
1.5040854457148,0
1.5040854457148,0
1.5040854457148,0
1.5040854457148,0
1.5040854457148,0
1.4851696204101,0
1.4851696204101,0
1.4851696204101,0
1.3160533986706,0
1.3160533986706,0
1.3160533986706,0
1.3160533986706,0
1.3160533986706,0
0.91155723129993,0
0.91155723129993,0
0.91155723129993,0
0.85327600467705,0
0.85327600467705,0
0.85327600467704,0
0.69142284316911,0
0.69142284316911,0
0.69142284316911,0
0.48628270087448,0
0.48628270087448,0
0.48628270087447,0
-0.21710810122547,0
