s,k,Infidelity
0.05,79,8.9148065152145e-08
0.1,39,7.037197169435e-08
0.15,25,8.7087003275421e-08
0.2,19,4.5421493566344e-08
0.25,15,3.9040243815514e-08
0.3,12,6.1039618914904e-08
0.35,10,9.2617347680068e-08
0.4,9,7.2809514195527e-08
0.45,9,1.852619757603e-08
0.5,8,9.3619711760695e-08
0.55,9,1.7575007782433e-08
0.6,9,5.491718801931e-08
0.65,10,5.0643202298417e-08
0.7,11,8.5703825924988e-08
0.75,13,7.0416449449162e-08
0.8,16,4.6627344763017e-08
0.85,19,8.3030147868257e-08
0.9,25,6.0557267200778e-08
0.95,34,6.9049241102626e-08
1,52,7.7488557126415e-08
1.05,100,1.8506032450905e-07
