s,k,Infidelity
0.3,100,1
0.35,100,1
0.4,100,1
0.45,100,1
0.5,100,1
0.55,100,1
0.6,100,1
0.65,100,1
0.7,100,1
0.75,100,1
0.8,100,1
0.85,100,1
0.9,100,1
