s,k,Infidelity
0.05,100,1.1566130275753e-09
0.1,49,9.6978691743743e-10
0.15,32,8.2468232243116e-10
0.2,24,4.5972292639362e-10
0.25,19,3.4097369372432e-10
0.3,15,7.6870354526193e-10
0.35,13,5.2924686855249e-10
0.4,12,2.1280022188819e-10
0.45,11,2.8566526921736e-10
0.5,11,1.6731993568442e-10
0.55,11,3.1335556371914e-10
0.6,12,2.2384072373427e-10
0.65,13,3.9953040875673e-10
0.7,15,3.3823943645928e-10
0.75,17,6.8107897099878e-10
0.8,21,4.0546366264493e-10
0.85,25,9.0016860632147e-10
0.9,33,6.0951155234079e-10
0.95,45,7.5688211254032e-10
1,69,9.4602081723849e-10
1.05,100,1.8506032450905e-07
