eps,k,Infidelity
0.01,3,0.0042596840369008
0.001,4,0.00051907008098739
0.0001,5,6.2945711835516e-05
1e-05,6,7.6287514867435e-06
1e-06,7,9.2450696331792e-07
1e-07,9,1.3577373669804e-08
1e-08,10,1.6453873818989e-09
1e-09,11,1.9939805362412e-10
1e-10,12,2.4164226175571e-11
1e-11,13,2.9287683389612e-12
1e-12,14,3.5504932327513e-13
