g,Energy
0.4,-3.7682021008527,-3.8466666666667,-3.8466666666667,-3.8466666666667,-3.8466666666667,-3.8466666666667,-3.87517354752,-3.87517354752,-3.87517354752,-3.8753225869928,-3.8753225869928,-3.8753225869928,-3.9555311514678,-3.9555311514678,-3.9555311514678,-4.0107338437074
0.45,-2.7890420423304,-2.8871810699588,-2.8871810699588,-2.8871810699589,-2.8871810699589,-2.8871810699589,-2.9246184572291,-2.9246184572291,-2.9246184572291,-2.9249617165462,-2.9249617165462,-2.9249617165462,-3.0265449775554,-3.0265449775554,-3.0265449775554,-3.0978863900644
0.5,-2.0475132233324,-2.1666666666667,-2.1666666666667,-2.1666666666667,-2.1666666666667,-2.1666666666667,-2.2151628337916,-2.2151628337916,-2.2151628337916,-2.215912237325,-2.215912237325,-2.215912237325,-2.3413117445745,-2.3413117445745,-2.3413117445745,-2.4319908837115
0.55,-1.4579385534678,-1.5988567493113,-1.5988567493113,-1.5988567493113,-1.5988567493113,-1.5988567493113,-1.6611259704272,-1.6611259704272,-1.6611259704272,-1.66268680551,-1.66268680551,-1.66268680551,-1.8141259246638,-1.8141259246638,-1.8141259246638,-1.9281974349475
0.6,-0.96918560401133,-1.1318518518519,-1.1318518518519,-1.1318518518519,-1.1318518518519,-1.1318518518519,-1.2113228046104,-1.2113228046104,-1.2113228046104,-1.2144290915123,-1.2144290915123,-1.2144290915123,-1.3936761934595,-1.3936761934595,-1.3936761934595,-1.5363355589257
0.65,-0.54945182901805,-0.73290927021696,-0.73290927021696,-0.73290927021696,-0.73290927021696,-0.73290927021696,-0.83384216979519,-0.83384216979519,-0.83384216979519,-0.83974406076977,-0.83974406076978,-0.83974406076978,-1.0477578506874,-1.0477578506874,-1.0477578506874,-1.2255883954335
0.7,-0.17831784880086,-0.38054421768707,-0.38054421768707,-0.38054421768707,-0.38054421768708,-0.38054421768708,-0.50813228245981,-0.50813228245981,-0.50813228245981,-0.51881437113092,-0.51881437113092,-0.51881437113092,-0.75529391188804,-0.75529391188804,-0.75529391188804,-0.97636921117894
0.75,0.15770958684878,-0.060185185185185,-0.060185185185185,-0.060185185185186,-0.060185185185187,-0.060185185185188,-0.22064086921771,-0.22064086921771,-0.22064086921772,-0.23899992667414,-0.23899992667414,-0.23899992667414,-0.50193412008169,-0.50193412008169,-0.50193412008169,-0.77567403414836
0.8,0.46788329448065,0.23833333333333,0.23833333333333,0.23833333333333,0.23833333333333,0.23833333333333,0.037707091172402,0.037707091172399,0.037707091172398,0.0078692135091697,0.0078692135091679,0.0078692135091672,-0.27753471035669,-0.27753471035669,-0.27753471035669,-0.61429335631776
0.85,0.75892350082047,0.52227797001153,0.52227797001153,0.52227797001153,0.52227797001153,0.52227797001153,0.2730403238288,0.2730403238288,0.2730403238288,0.2273948299386,0.2273948299386,0.2273948299386,-0.0746821441935,-0.0746821441935,-0.074682144193502,-0.48516772803272
