g,Energy
0.25,-11.859841742388,-11.859841742388,-11.859841742388,-11.891004037539,-11.891004037539,-11.891004037539,-11.906756662128
0.3,-8.1322166229946,-8.1322166229946,-8.1322166229946,-8.1769573508453,-8.1769573508453,-8.1769573508453,-8.1998400654544
0.35,-5.8502695932158,-5.8502695932158,-5.8502695932158,-5.9108761301965,-5.9108761301965,-5.9108761301965,-5.9424735951202
0.4,-4.3350358155641,-4.3350358155641,-4.3350358155642,-4.4136345162781,-4.4136345162781,-4.4136345162781,-4.4558293527349
0.45,-3.2629556284198,-3.2629556284198,-3.2629556284198,-3.3614482835606,-3.3614482835606,-3.3614482835606,-3.4166131569329
0.5,-2.464510536999,-2.464510536999,-2.464510536999,-2.5844978252235,-2.5844978252235,-2.5844978252235,-2.6557888682463
0.55,-1.8444396475422,-1.8444396475422,-1.8444396475422,-1.9871000719715,-1.9871000719715,-1.9871000719715,-2.0788742211779
0.6,-1.3463297305504,-1.3463297305504,-1.3463297305504,-1.5121754859226,-1.5121754859227,-1.5121754859227,-1.6304846734049
0.65,-0.93553336352021,-0.93553336352021,-0.93553336352021,-1.123933823377,-1.123933823377,-1.123933823377,-1.2769105795035
0.7,-0.59038344103739,-0.59038344103739,-0.5903834410374,-0.79884438386777,-0.79884438386777,-0.79884438386778,-0.99668883097025
0.75,-0.29714468575737,-0.29714468575737,-0.29714468575737,-0.52070782239619,-0.52070782239619,-0.52070782239619,-0.77510314845571
0.8,-0.046300595472987,-0.046300595472987,-0.04630059547299,-0.27788701788436,-0.27788701788437,-0.27788701788437,-0.60101491811799
0.85,0.17035011888138,0.17035011888138,0.17035011888137,-0.061714846123801,-0.061714846123801,-0.061714846123806,-0.46528995559793
0.9,0.360843627879,0.360843627879,0.360843627879,0.1344427296835,0.1344427296835,0.13444272968349,-0.360201915172
0.95,0.53253707861905,0.53253707861905,0.53253707861905,0.3157541708766,0.3157541708766,0.3157541708766,-0.27925672720647
1,0.69142284316911,0.69142284316911,0.69142284316911,0.48628270087448,0.48628270087448,0.48628270087447,-0.21710810122547
1.05,0.84202164496624,0.84202164496623,0.84202164496623,0.64923198047253,0.64923198047253,0.64923198047253,-0.16945160127404
1.1,0.98763910403259,0.98763910403259,0.98763910403259,0.8071271716618,0.80712717166179,0.80712717166179,-0.1328888949763
1.15,1.1306818557415,1.1306818557415,1.1306818557415,0.96195624487823,0.96195624487823,0.96195624487823,-0.1047796864562
1.2,1.2729147305509,1.2729147305509,1.2729147305509,1.1152832170082,1.1152832170081,1.1152832170081,-0.08309782154108
1.25,1.4156457927165,1.4156457927165,1.4156457927165,1.2683392272935,1.2683392272935,1.2683392272935,-0.066302080205672
1.3,1.5598550872994,1.5598550872994,1.5598550872994,1.4220952478984,1.4220952478984,1.4220952478984,-0.053226635360147
1.35,1.7062842393736,1.7062842393736,1.7062842393736,1.5773195281708,1.5773195281708,1.5773195281708,-0.042992072475753
1.4,1.8554995497354,1.8554995497354,1.8554995497354,1.7346225437976,1.7346225437976,1.7346225437976,-0.034935354221652
1.45,2.0079370599925,2.0079370599925,2.0079370599925,1.8944919123399,1.8944919123399,1.8944919123399,-0.02855592885414
1.5,2.1639351621045,2.1639351621045,2.1639351621045,2.057319386086,2.057319386086,2.057319386086,-0.023474901554287
1.55,2.3237584579138,2.3237584579138,2.3237584579138,2.2234216696591,2.2234216696591,2.2234216696591,-0.0194044130483
1.6,2.4876153793872,2.4876153793872,2.4876153793872,2.3930564683053,2.3930564683053,2.3930564683053,-0.016124809236107
1.65,2.6556713048899,2.6556713048899,2.6556713048899,2.5664348743149,2.5664348743149,2.5664348743149,-0.013467666819647
1.7,2.828058391727,2.828058391727,2.828058391727,2.7437309508944,2.7437309508944,2.7437309508944,-0.01130317850057
