g,N,E0,E1,gap
0.9,1
3,60,60
-0.24060647983312,0.29895280559003,0.53955928542315
-0.360201915172,0.1344427296835,0.49464464485549
-0.4798227382707,-0.012857415407574,0.46696532286313
-0.59944889877339,-0.15093636901099,0.4485125297624
-0.71907625971227,-0.28354807714074,0.43552818257153
-0.83870390546196,-0.41268443664936,0.4260194688126
-0.95833162201654,-0.53949508169042,0.41883654032612
-1.0779593562039,-0.66468608691296,0.41327326929097
-1.1975870950321,-0.78871250485871,0.40887459017336
-1.317214835087,-0.9118791579496,0.4053356771374
-1.4368425754708,-1.0343968359206,0.40244573955022
-1.5564703159436,-1.1564152538468,0.40005506209681
-1.6760980564408,-1.2780432074473,0.39805484899353
-1.7957257969447,-1.3993613401574,0.39636445678733
-1.9153535374504,-1.520430475776,0.39492306167444
-2.0349812779567,-1.6412972002206,0.39368407773611
-2.1546090184631,-1.7619976881814,0.39261133028167
-2.2742367589695,-1.8825603777351,0.39167638123443
-2.393864499476,-2.0030078769918,0.39085662248416
-2.5134922399824,-2.1233583406909,0.39013389929149
-2.6331199804888,-2.2436264843031,0.3894934961857
-2.7527477209953,-2.3638243398556,0.38892338113966
-2.8723754615018,-2.4839614575656,0.38841400393616
-2.9920032020082,-2.6040471164318,0.38795608557642
-3.1116309425146,-2.724087157428,0.3875437850866
-3.2312586830211,-2.8440850268453,0.38717365617574
-3.3508864235275,-2.9640483576392,0.38683806588834
-3.470514164034,-3.0839740309518,0.38654013308218
-3.5901419045404,-3.2038962812385,0.38624562330189
-3.7097696450469,-3.3237779048048,0.38599174024205
-3.8293973855533,-3.4436368994373,0.38576048611603
-3.9490251260597,-3.5634681888196,0.3855569372401
-4.0686528665662,-3.6832793941262,0.38537347244
-4.1882806070726,-3.8030654804331,0.38521512663952
-4.3079083475791,-3.9228511135455,0.38505723403359
-4.4275360880856,-4.0425826751933,0.38495341289228
-4.547163828592,-4.1623303293146,0.38483349927739
-4.6667915690984,-4.2820746965851,0.38471687251328
-4.7864193096049,-4.4017684963762,0.38465081322872
-4.9060470501113,-4.5215091409187,0.38453790919263
-5.0256747906178,-4.6412855867053,0.38438920391248
-5.1453025311242,-4.760972497596,0.3843300335282
-5.2649302716307,-4.8804817789941,0.38444849263657
-5.3845580121371,-5.0001257755811,0.38443223655603
-5.5041857526436,-5.1198812880202,0.38430446462333
-5.62381349315,-5.2397165597704,0.38409693337956
-5.7434412336565,-5.3591936340821,0.38424759957436
-5.8630689741629,-5.4788961739965,0.38417280016638
-5.9826967146693,-5.5986489260461,0.38404778862322
-6.1023244551758,-5.718148094392,0.38417636078382
-6.2219521956823,-5.8379506795122,0.38400151617007
-6.3415799361886,-5.9575153386434,0.38406459754517
-6.4612076766951,-6.0772135151566,0.38399416153848
-6.5808354172016,-6.1966946428026,0.38414077439901
-6.7004631570027,-6.3163662625198,0.38409689448286
-6.8200908922342,-6.4360602860965,0.38403060613773
-6.9397186386262,-6.5558232546492,0.38389538397696
-7.0593463728657,-6.6753704487122,0.38397592415348
-0.14497254146874,0.59970930403004,0.74468184549878
-0.21710810122547,0.48628270087448,0.70339080209994
-0.28924614726731,0.38944457820552,0.67869072547283
-0.36138450043887,0.30129738692398,0.66268188736285
-0.43352289118869,0.21817554924041,0.6516984404291
-0.50566128710118,0.13817072989424,0.64383201699542
-0.57779968367978,0.060204596316947,0.63800427999673
-0.64993808034885,-0.016371182141296,0.63356689820755
-0.72207647703032,-0.09196597639062,0.6301105006397
-0.79421487371351,-0.16684878683412,0.62736608687939
-0.86635327039694,-0.24120234503171,0.62515092536523
-0.9384916670804,-0.31515432400053,0.62333734307987
-1.0106300637639,-0.38879611644844,0.62183394731543
-1.0827684604473,-0.46219453774641,0.62057392270092
-1.1549068571308,-0.53539934758844,0.61950750954235
