s,k,Infidelity
0.05,100,1.1566130275753e-09
0.1,71,7.8381745538536e-14
0.15,46,7.3940853440035e-14
0.2,34,4.7295500849032e-14
0.25,26,8.4821039081362e-14
0.3,22,2.8643754035329e-14
0.35,18,9.7033492352239e-14
0.4,16,8.9039886574938e-14
0.45,15,6.8167693711985e-14
0.5,15,3.619327060278e-14
0.55,15,9.9698027611339e-14
0.6,17,2.3536728122053e-14
0.65,19,2.5091040356529e-14
0.7,21,8.3932860661662e-14
0.75,25,6.3726801613484e-14
0.8,30,7.9269923958236e-14
0.85,38,4.9960036108132e-14
0.9,49,6.1950444774084e-14
0.95,67,9.1038288019263e-14
1,100,3.0664359940147e-13
1.05,100,1.8506032450905e-07
