s,k,Infidelity
0.05,100,0.0036469332860151
0.1,59,0.00087822108311131
0.15,40,0.00079771388330196
0.2,30,0.00085734466144582
0.25,24,0.00092030673022925
0.3,20,0.00098737112427083
0.35,18,0.00060298687435034
0.4,16,0.00052761749254693
0.45,14,0.00067827304353008
0.5,13,0.00048141389145195
0.55,12,0.00041215127601624
0.6,11,0.00043247438470984
0.65,10,0.00056909567723451
0.7,9,0.00096902676939181
0.75,9,0.00050750364897434
0.8,9,0.00076142904713372
0.85,100,0.13119156989226
0.9,100,0.18181129018863
0.95,100,0.22726235908683
1,100,0.26832597492414
1.05,100,0.30563479097343
1.1,100,0.3397066891806
1.15,100,0.37096974422591
1.2,100,0.39978094746334
1.25,100,0.42644043804044
1.3,100,0.4512024508759
