g,E0,E1,gap
0.65,-3.842254279302,-3.7643806083861,0.07787367091589
0.7,-2.9950678851834,-2.8819934590858,0.11307442609766
0.75,-2.3253118412405,-2.1606721071547,0.16463973408575
0.8,-1.8005741398667,-1.5673020616866,0.2332720781801
0.85,-1.3928420829519,-1.0757776497663,0.31706443318558
0.9,-1.0779593562039,-0.66468608681084,0.4132732693931
0.95,-0.83577540077493,-0.31635913627726,0.51941626449766
1,-0.64993808034885,-0.016370924459439,0.63356715588941
1.05,-0.50743672459785,0.24688598012481,0.75432270472266
1.1,-0.39807579168154,0.48264321883508,0.88071901051662
1.15,-0.31396480496492,0.69802393071466,1.0119887356796
1.2,-0.24905821563168,0.89886284464887,1.1479210602806
1.25,-0.1987586343662,1.0895624765615,1.2883211109277
1.3,-0.15958708570459,1.273061750153,1.4326488358576
1.35,-0.12891755826263,1.4525633077946,1.5814808660572
1.4,-0.10476873575053,1.6301280651932,1.7348968009438
