g,N,E0,E1,gap,xi_gap,xi_corr,m_corr,xi_transfer,m_transfer,i0,comp_i,comp_j,r,corr,abs_corr,log_abs_corr,rMin,rMax
0.45,91,-102.82098936997,nan,nan,nan,41.648472105053,0.024010484645814,nan,nan,30,2,2,1,0.11057362191527,0.11057362191527,-2.2020737182014,1,30
0.45,91,-102.82098936997,nan,nan,nan,41.648472105053,0.024010484645814,nan,nan,30,2,2,2,0.10936514391458,0.10936514391458,-2.2130630511458,1,30
0.45,91,-102.82098936997,nan,nan,nan,41.648472105053,0.024010484645814,nan,nan,30,2,2,3,0.10773864093454,0.10773864093454,-2.2280469761165,1,30
0.45,91,-102.82098936997,nan,nan,nan,41.648472105053,0.024010484645814,nan,nan,30,2,2,4,0.10586229432669,0.10586229432669,-2.2456161395708,1,30
0.45,91,-102.82098936997,nan,nan,nan,41.648472105053,0.024010484645814,nan,nan,30,2,2,5,0.10382173032168,0.10382173032168,-2.2650799821675,1,30
0.45,91,-102.82098936997,nan,nan,nan,41.648472105053,0.024010484645814,nan,nan,30,2,2,6,0.10169162923731,0.10169162923731,-2.2858102876995,1,30
0.45,91,-102.82098936997,nan,nan,nan,41.648472105053,0.024010484645814,nan,nan,30,2,2,7,0.099524047704488,0.099524047704488,-2.3073559785466,1,30
0.45,91,-102.82098936997,nan,nan,nan,41.648472105053,0.024010484645814,nan,nan,30,2,2,8,0.097339379526776,0.097339379526776,-2.3295516488855,1,30
0.45,91,-102.82098936997,nan,nan,nan,41.648472105053,0.024010484645814,nan,nan,30,2,2,9,0.095155039948165,0.095155039948165,-2.3522477181912,1,30
0.45,91,-102.82098936997,nan,nan,nan,41.648472105053,0.024010484645814,nan,nan,30,2,2,10,0.092983030639169,0.092983030639169,-2.3753382687234,1,30
0.45,91,-102.82098936997,nan,nan,nan,41.648472105053,0.024010484645814,nan,nan,30,2,2,11,0.090815349747579,0.090815349747579,-2.3989269575788,1,30
0.45,91,-102.82098936997,nan,nan,nan,41.648472105053,0.024010484645814,nan,nan,30,2,2,12,0.088663588887119,0.088663588887119,-2.4229059712704,1,30
0.45,91,-102.82098936997,nan,nan,nan,41.648472105053,0.024010484645814,nan,nan,30,2,2,13,0.086528411598921,0.086528411598921,-2.4472824611838,1,30
0.45,91,-102.82098936997,nan,nan,nan,41.648472105053,0.024010484645814,nan,nan,30,2,2,14,0.08441552691682,0.08441552691682,-2.4720039260915,1,30
