eps,k,Infidelity
0.01,150,0.75
0.001,150,0.75
0.0001,150,0.75
1e-05,150,0.75
1e-06,150,0.75
1e-07,150,0.75
1e-08,150,0.75
1e-09,150,0.75
1e-10,150,0.75
1e-11,150,0.75
1e-12,150,0.75
1e-13,150,0.75
1e-14,150,0.75
1e-15,150,0.75
1e-16,150,0.75
