eps,k,Infidelity
0.01,3,0.008340741749997
0.001,5,0.00017415999363157
0.0001,6,2.4910181500637e-05
1e-05,7,3.5617379181563e-06
1e-06,8,5.0924469641167e-07
1e-07,9,7.2809514195527e-08
1e-08,11,1.4883685395262e-09
1e-09,12,2.1280022188819e-10
1e-10,13,3.0425217900643e-11
1e-11,14,4.3502978996912e-12
1e-12,15,6.2216898299994e-13
1e-13,16,8.9039886574938e-14
1e-14,18,1.7763568394003e-15
1e-15,19,4.4408920985006e-16
1e-16,20,0
