s,k,Infidelity
0.05,34,0.00098406075952651
0.1,17,0.00087191491907712
0.15,11,0.00096963883325141
0.2,9,0.00044302501334215
0.25,7,0.00051121681576871
0.3,6,0.00038450079706742
0.35,5,0.0005063911896005
0.4,5,0.00017415999363157
0.45,4,0.00062674808698548
0.5,4,0.00043152456321716
0.55,4,0.00041417458076831
0.6,4,0.00052860247319975
0.65,4,0.00081570430056965
0.7,5,0.00034612190472005
0.75,5,0.00075521499972364
0.8,6,0.00061856165907492
0.85,7,0.00070939462988828
0.9,9,0.00060034919485452
0.95,11,0.00087319568544708
1,16,0.00088339849715713
1.05,29,0.00095328568735531
