s,k,Infidelity
0.05,57,8.4505515876021e-06
0.1,28,7.8377426958598e-06
0.15,18,9.1963157559105e-06
0.2,14,4.4876939391258e-06
0.25,11,4.4699224197586e-06
0.3,9,4.8468516525846e-06
0.35,8,2.8976453269047e-06
0.4,7,3.5617379181563e-06
0.45,6,9.6754710970925e-06
0.5,6,6.3569045931633e-06
0.55,6,7.3821891959369e-06
0.6,7,2.1522357290804e-06
0.65,7,6.4195008019352e-06
0.7,8,5.4430344224032e-06
0.75,9,7.2805537354448e-06
0.8,11,5.3621745252919e-06
0.85,13,7.6589157728124e-06
0.9,17,6.0168450483067e-06
0.95,22,9.4955665723706e-06
1,34,8.2256660901558e-06
1.05,67,9.7178403634102e-06
