s,k,Infidelity
0.05,100,0.0036469332860151
0.1,100,8.1203806523433e-07
0.15,75,8.8057917957407e-08
0.2,56,8.6829494261309e-08
0.25,45,7.0935402440853e-08
0.3,37,8.2495100750535e-08
0.35,32,5.9936637319957e-08
0.4,28,5.1695480562941e-08
0.45,24,9.6664551918479e-08
0.5,22,5.5209554372659e-08
0.55,20,4.6160191335964e-08
0.6,18,7.2653620897256e-08
0.65,23,7.7999340319934e-08
0.7,50,9.8854753827204e-08
0.75,100,0.0011867154387843
0.8,100,0.074426708675159
0.85,100,0.13119156989226
0.9,100,0.18181129018863
0.95,100,0.22726235908683
1,100,0.26832597492414
1.05,100,0.30563479097343
1.1,100,0.3397066891806
1.15,100,0.37096974422591
1.2,100,0.39978094746334
1.25,100,0.42644043804044
1.3,100,0.4512024508759
