eps,k,Infidelity
0.01,5,0.0040803151249954
0.001,6,0.00076019585978726
0.0001,8,2.5890157279385e-05
1e-05,9,4.7728794926316e-06
1e-06,10,8.7986914010241e-07
1e-07,12,2.9903612919213e-08
1e-08,13,5.5130568998862e-09
1e-09,15,1.8739454432648e-10
1e-10,16,3.455036257094e-11
1e-11,17,6.3704597152991e-12
1e-12,19,2.1671553440683e-13
1e-13,20,4.0190073491431e-14
1e-14,21,7.5495165674511e-15
1e-15,23,6.6613381477509e-16
