eps,k,Infidelity
0.01,3,0.0033280684112179
0.001,4,0.00052860247319975
0.0001,5,8.4361243856912e-05
1e-05,7,2.1522357290804e-06
1e-06,8,3.4379407387597e-07
1e-07,9,5.491718801931e-08
1e-08,10,8.7723996955447e-09
1e-09,12,2.2384072373427e-10
1e-10,13,3.5756064775683e-11
1e-11,14,5.7118754170915e-12
1e-12,15,9.1260332624188e-13
1e-13,17,2.3536728122053e-14
1e-14,18,3.7747582837255e-15
1e-15,19,4.4408920985006e-16
1e-16,20,0
