k,Energy,Fidelity
0,0,0.25
1,-0.4194158402724,0.47715379656336
2,-0.72476557668341,0.73099901170529
3,-0.90865006855022,0.90929395279977
4,-0.97895220056763,0.97903923105776
5,-0.99590631898396,0.995919684875
6,-0.99923768542447,0.99923980414021
7,-0.99985925925452,0.99985959721126
8,-0.99997405587222,0.99997410984272
9,-0.99999521849975,0.99999522712051
10,-0.9999991187538,0.99999912013086
11,-0.99999983757466,0.99999983779463
12,-0.99999997006125,0.99999997009639
13,-0.99999999448133,0.99999999448694
14,-0.99999999898269,0.99999999898359
15,-0.99999999981246,0.99999999981261
16,-0.99999999996543,0.99999999996545
17,-0.99999999999363,0.99999999999363
18,-0.99999999999883,0.99999999999883
19,-0.99999999999978,0.99999999999978
20,-0.99999999999996,0.99999999999996
21,-0.99999999999999,0.99999999999999
