s,k,Infidelity
0.3,19,9.0406094332973e-06
0.35,16,9.4428951424863e-06
0.4,14,7.7026232540023e-06
0.45,13,3.2790251743853e-06
0.5,11,6.2628224164474e-06
0.55,10,4.8188414190076e-06
0.6,9,4.7728794959623e-06
0.65,8,6.3767492380906e-06
0.7,8,1.7424935608856e-06
0.75,7,7.6992343046589e-06
0.8,8,6.047859523739e-06
0.85,10,4.8256923570467e-06
0.9,12,7.3836858025533e-06
