k,Energy,Fidelity
0,0,0.25
1,-0.54532355944536,0.56334924442973
2,-0.89093957061382,0.89496501073275
3,-0.99185179381296,0.99430405521538
4,-0.99624453490933,0.9981099690721
5,-0.99713735081923,0.99856859011047
6,-0.99780073097689,0.99890036490592
7,-0.99830855449074,0.99915427724144
8,-0.99869809990221,0.99934904995108
9,-0.99899733030232,0.99949866515116
10,-0.99922742926084,0.99961371463042
11,-0.99940451270477,0.99970225635238
12,-0.99954088111234,0.99977044055617
13,-0.99964594641104,0.99982297320552
14,-0.99972692427828,0.99986346213914
15,-0.99978935492059,0.9998946774603
16,-0.9998374970375,0.99991874851875
17,-0.99987462717185,0.99993731358592
18,-0.99990326795763,0.99995163397882
19,-0.99992536262535,0.99996268131267
20,-0.99994240870158,0.99997120435079
21,-0.99995556061683,0.99997778030841
22,-0.99996570856251,0.99998285428125
23,-0.99997353917884,0.99998676958942
24,-0.99997958235256,0.99998979117628
25,-0.99998424745649,0.99999212372824
26,-0.99998785172852,0.99999392586426
27,-0.99999064319075,0.99999532159536
28,-0.99999282066759,0.99999641033372
29,-0.99999455416931,0.99999727708446
30,-0.99999600881492,0.9999980044054
