g,N,E0,E1,gap,xi_gap,xi_corr,m_corr,xi_transfer,m_transfer,i0,comp_i,comp_j,r,corr,abs_corr,log_abs_corr,rMin,rMax
0.6,51,-27.361840496372,nan,nan,nan,25.483372984534,0.039241273147275,nan,nan,12,2,2,1,0.10776804392938,0.10776804392938,-2.2277741029568,1,25
0.6,51,-27.361840496372,nan,nan,nan,25.483372984534,0.039241273147275,nan,nan,12,2,2,2,0.10199071514407,0.10199071514407,-2.2828734978405,1,25
0.6,51,-27.361840496372,nan,nan,nan,25.483372984534,0.039241273147275,nan,nan,12,2,2,3,0.095872243705464,0.095872243705464,-2.3447387685428,1,25
0.6,51,-27.361840496372,nan,nan,nan,25.483372984534,0.039241273147275,nan,nan,12,2,2,4,0.090138406599436,0.090138406599436,-2.4064089388291,1,25
0.6,51,-27.361840496372,nan,nan,nan,25.483372984534,0.039241273147275,nan,nan,12,2,2,5,0.084995150105337,0.084995150105337,-2.4651610817039,1,25
0.6,51,-27.361840496372,nan,nan,nan,25.483372984534,0.039241273147275,nan,nan,12,2,2,6,0.080442809369018,0.080442809369018,-2.5202087896625,1,25
0.6,51,-27.361840496372,nan,nan,nan,25.483372984534,0.039241273147275,nan,nan,12,2,2,7,0.076416411966124,0.076416411966124,-2.5715577895689,1,25
0.6,51,-27.361840496372,nan,nan,nan,25.483372984534,0.039241273147275,nan,nan,12,2,2,8,0.072836370105362,0.072836370105362,-2.6195398591733,1,25
0.6,51,-27.361840496372,nan,nan,nan,25.483372984534,0.039241273147275,nan,nan,12,2,2,9,0.069629708288992,0.069629708288992,-2.6645639594808,1,25
0.6,51,-27.361840496372,nan,nan,nan,25.483372984534,0.039241273147275,nan,nan,12,2,2,10,0.066736437493771,0.066736437493771,-2.7070041859603,1,25
0.6,51,-27.361840496372,nan,nan,nan,25.483372984534,0.039241273147275,nan,nan,12,2,2,11,0.064105251314337,0.064105251314337,-2.7472289946305,1,25
0.6,51,-27.361840496372,nan,nan,nan,25.483372984534,0.039241273147275,nan,nan,12,2,2,12,0.061695202235482,0.061695202235482,-2.7855491106488,1,25
0.6,51,-27.361840496372,nan,nan,nan,25.483372984534,0.039241273147275,nan,nan,12,2,2,13,0.059474269924572,0.059474269924572,-2.8222114982014,1,25
0.6,51,-27.361840496372,nan,nan,nan,25.483372984534,0.039241273147275,nan,nan,12,2,2,14,0.057408070735793,0.057408070735793,-2.8575703803874,1,25
0.6,51,-27.361840496372,nan,nan,nan,25.483372984534,0.039241273147275,nan,nan,12,2,2,15,0.055484461770996,0.055484461770996,-2.8916522655183,1,25
0.6,51,-27.361840496372,nan,nan,nan,25.483372984534,0.039241273147275,nan,nan,12,2,2,16,0.053676731105463,0.053676731105463,-2.9247756841218,1,25
0.6,51,-27.361840496372,nan,nan,nan,25.483372984534,0.039241273147275,nan,nan,12,2,2,17,0.051975544091964,0.051975544091964,-2.956981976953,1,25
0.6,51,-27.361840496372,nan,nan,nan,25.483372984534,0.039241273147275,nan,nan,12,2,2,18,0.050362773817435,0.050362773817435,-2.9885029915485,1,25
0.6,51,-27.361840496372,nan,nan,nan,25.483372984534,0.039241273147275,nan,nan,12,2,2,19,0.048824498015122,0.048824498015122,-3.0195230835805,1,25
0.6,51,-27.361840496372,nan,nan,nan,25.483372984534,0.039241273147275,nan,nan,12,2,2,20,0.047363055241041,0.047363055241041,-3.0499127794854,1,25
0.6,51,-27.361840496372,nan,nan,nan,25.483372984534,0.039241273147275,nan,nan,12,2,2,21,0.045959522469177,0.045959522469177,-3.0799942161953,1,25
0.6,51,-27.361840496372,nan,nan,nan,25.483372984534,0.039241273147275,nan,nan,12,2,2,22,0.044612469461975,0.044612469461975,-3.1097418746833,1,25
0.6,51,-27.361840496372,nan,nan,nan,25.483372984534,0.039241273147275,nan,nan,12,2,2,23,0.043311131660702,0.043311131660702,-3.1393455947804,1,25
0.6,51,-27.361840496372,nan,nan,nan,25.483372984534,0.039241273147275,nan,nan,12,2,2,24,0.042049744774358,0.042049744774358,-3.1689019621569,1,25
0.6,51,-27.361840496372,nan,nan,nan,25.483372984534,0.039241273147275,nan,nan,12,2,2,25,0.040825054275645,0.040825054275645,-3.1984593106557,1,25
0.65,51,-21.406320178282,nan,nan,nan,14.606281212666,0.068463696230416,nan,nan,12,2,2,1,0.10506937486069,0.10506937486069,-2.2531344340404,1,25
0.65,51,-21.406320178282,nan,nan,nan,14.606281212666,0.068463696230416,nan,nan,12,2,2,2,0.095375080712297,0.095375080712297,-2.3499379431153,1,25
0.65,51,-21.406320178282,nan,nan,nan,14.606281212666,0.068463696230416,nan,nan,12,2,2,3,0.085904083766163,0.085904083766163,-2.4545239101888,1,25
0.65,51,-21.406320178282,nan,nan,nan,14.606281212666,0.068463696230416,nan,nan,12,2,2,4,0.077568593450034,0.077568593450034,-2.5565926572977,1,25
0.65,51,-21.406320178282,nan,nan,nan,14.606281212666,0.068463696230416,nan,nan,12,2,2,5,0.070439966920485,0.070439966920485,-2.6529944649669,1,25
0.65,51,-21.406320178282,nan,nan,nan,14.606281212666,0.068463696230416,nan,nan,12,2,2,6,0.064356058785663,0.064356058785663,-2.7433241957488,1,25
0.65,51,-21.406320178282,nan,nan,nan,14.606281212666,0.068463696230416,nan,nan,12,2,2,7,0.059124707185334,0.059124707185334,-2.8281063846502,1,25
0.65,51,-21.406320178282,nan,nan,nan,14.606281212666,0.068463696230416,nan,nan,12,2,2,8,0.054579803946424,0.054579803946424,-2.908091355749,1,25
0.65,51,-21.406320178282,nan,nan,nan,14.606281212666,0.068463696230416,nan,nan,12,2,2,9,0.050589954217937,0.050589954217937,-2.9840022556414,1,25
0.65,51,-21.406320178282,nan,nan,nan,14.606281212666,0.068463696230416,nan,nan,12,2,2,10,0.047053675333768,0.047053675333768,-3.0564663005124,1,25
0.65,51,-21.406320178282,nan,nan,nan,14.606281212666,0.068463696230416,nan,nan,12,2,2,11,0.043892976778437,0.043892976778437,-3.1260009539675,1,25
0.65,51,-21.406320178282,nan,nan,nan,14.606281212666,0.068463696230416,nan,nan,12,2,2,12,0.041047124796814,0.041047124796814,-3.1930344870272,1,25
0.65,51,-21.406320178282,nan,nan,nan,14.606281212666,0.068463696230416,nan,nan,12,2,2,13,0.038468468137085,0.038468468137085,-3.2579163826862,1,25
0.65,51,-21.406320178282,nan,nan,nan,14.606281212666,0.068463696230416,nan,nan,12,2,2,14,0.036118932229279,0.036118932229279,-3.3209381126289,1,25
0.65,51,-21.406320178282,nan,nan,nan,14.606281212666,0.068463696230416,nan,nan,12,2,2,15,0.033967908627985,0.033967908627985,-3.3823390639688,1,25
0.65,51,-21.406320178282,nan,nan,nan,14.606281212666,0.068463696230416,nan,nan,12,2,2,16,0.03198990030692,0.03198990030692,-3.4423350414082,1,25
0.65,51,-21.406320178282,nan,nan,nan,14.606281212666,0.068463696230416,nan,nan,12,2,2,17,0.030164190783273,0.030164190783273,-3.5010997937952,1,25
0.65,51,-21.406320178282,nan,nan,nan,14.606281212666,0.068463696230416,nan,nan,12,2,2,18,0.028473232377234,0.028473232377234,-3.55879084788,1,25
0.65,51,-21.406320178282,nan,nan,nan,14.606281212666,0.068463696230416,nan,nan,12,2,2,19,0.026901802318791,0.026901802318791,-3.6155619939202,1,25
0.65,51,-21.406320178282,nan,nan,nan,14.606281212666,0.068463696230416,nan,nan,12,2,2,20,0.025437473485177,0.025437473485177,-3.6715318581316,1,25
0.65,51,-21.406320178282,nan,nan,nan,14.606281212666,0.068463696230416,nan,nan,12,2,2,21,0.024068770639925,0.024068770639925,-3.726840102861,1,25
0.65,51,-21.406320178282,nan,nan,nan,14.606281212666,0.068463696230416,nan,nan,12,2,2,22,0.022786079538427,0.022786079538427,-3.7816054760414,1,25
0.65,51,-21.406320178282,nan,nan,nan,14.606281212666,0.068463696230416,nan,nan,12,2,2,23,0.021580761060174,0.021580761060174,-3.8359530528522,1,25
0.65,51,-21.406320178282,nan,nan,nan,14.606281212666,0.068463696230416,nan,nan,12,2,2,24,0.020445059002119,0.020445059002119,-3.8900140392749,1,25
