eps,k,Infidelity
0.01,100,1
0.001,100,1
0.0001,100,1
1e-05,100,1
1e-06,100,1
1e-07,100,1
1e-08,100,1
1e-09,100,1
1e-10,100,1
1e-11,100,1
1e-12,100,1
1e-13,100,1
1e-14,100,1
1e-15,100,1
