k,Energy,Fidelity
0,0,0.35240100703008
1,-0.68320215390561,0.40714286804918
2,-1.2961813438837,0.46222422446486
3,-1.8318988615264,0.51601836435167
4,-2.2893653365398,0.56717693434093
5,-2.6725030965552,0.61474346817425
6,-2.988530560594,0.65817331279532
7,-3.2463443237263,0.69728111383047
8,-3.4552075934225,0.73215095535329
9,-3.623862364125,0.76304091463716
10,-3.7600408120216,0.79030180530982
11,-3.8702809794836,0.81431770734465
12,-3.9599385993076,0.83546771318727
13,-4.0333047370727,0.85410452922054
14,-4.0937663090371,0.8705447957216
15,-4.1439715215162,0.88506670805844
16,-4.1859806376795,0.89791169815715
17,-4.2213941937761,0.90928804152241
18,-4.2514574158556,0.91937510577239
19,-4.2771428553969,0.92832753904234
20,-4.2992145344093,0.93627906303491
21,-4.3182770921095,0.94334574935441
22,-4.3348131209079,0.94962877258043
23,-4.3492113862977,0.95521668818684
24,-4.3617881064939,0.96018730375035
25,-4.3728029976074,0.9646092140711
26,-4.3824713951094,0.96854306441477
27,-4.3909734448721,0.97204259644757
28,-4.3984611091705,0.97515552138343
29,-4.405063543223,0.97792425571914
30,-4.4108912544965,0.98038654719668
31,-4.4160393498074,0.98257601237063
32,-4.4205900956529,0.98452260223941
33,-4.4246149584054,0.98625300861413
34,-4.4281762477089,0.98779102102735
35,-4.4313284546093,0.98915784182707
36,-4.4341193526107,0.99037236548842
37,-4.4365909127126,0.99145142697266
38,-4.4387800709011,0.99241002306203
39,-4.440719377293,0.99326150992046
40,-4.4424375492954,0.99401777961334
41,-4.443959946063,0.99468941791979
42,-4.4453089777556,0.99528584545659
43,-4.4465044602603,0.99581544388034
44,-4.4475639238959,0.99628566872709
45,-4.4485028829843,0.99670315027552
46,-4.449335071913,0.99707378367158
47,-4.450072652333,0.99740280942413
48,-4.4507263953695,0.99769488526844
49,-4.4513058421039,0.99795415029392
50,-4.4518194450987,0.99818428214328
51,-4.4522746933285,0.99838854800916
52,-4.4526782225559,0.99856985008189
53,-4.4530359129088,0.99873076603617
54,-4.4533529751918,0.99887358508466
55,-4.4536340272614,0.99900034007304
56,-4.4538831616337,0.99911283604188
57,-4.454104005346,0.99921267563693
58,-4.4542997729704,0.99930128170954
59,-4.4544733135725,0.99937991741292
60,-4.4546271523093,0.99944970406787
61,-4.4547635272853,0.9995116370422
62,-4.4548844222073,0.99956659986232
63,-4.4549915953202,0.99961537675152
64,-4.4550866050481,0.99965866376894
65,-4.4551708327166,0.99969707870389
66,-4.4552455026898,0.99973116986367
67,-4.4553117002156,0.99976142387781
68,-4.4553703872411,0.99978827262804
69,-4.4554224164294,0.99981209940161
70,-4.4554685435816,0.99983324435434
71,-4.4555094386464,0.99985200936078
72,-4.4555456954779,0.99986866231973
73,-4.4555778404837,0.9998834409763
74,-4.455606340289,0.99989655631444
75,-4.4556316085306,0.99990819556826
76,-4.4556540118772,0.99991852489476
77,-4.4556738753663,0.99992769174604
78,-4.4556914871337,0.99993582697466
79,-4.4557071026055,0.99994304670221
80,-4.455720948214,0.99994945397757
81,-4.4557332246908,0.99995514024859
82,-4.455744109986,0.9999601866682
83,-4.4557537618552,0.99996466525338
84,-4.4557623201528,0.99996863991381
85,-4.455769908865,0.99997216736462
86,-4.455776637911,0.99997529793643
87,-4.4557826047405,0.99997807629416
88,-4.4557878957489,0.99998054207493
89,-4.4557925875323,0.99998273045417
90,-4.4557967479996,0.99998467264786
91,-4.4558004373587,0.9999863963584
92,-4.4558037089901,0.99998792617013
93,-4.4558066102218,0.99998928390035
94,-4.4558091830159,0.99999048891087
95,-4.4558114645777,0.99999155838445
96,-4.455813487895,0.99999250757002
97,-4.4558152822164,0.99999335000047
98,-4.4558168734759,0.99999409768577
99,-4.4558182846683,0.99999476128438
100,-4.455819536183,0.99999535025543
101,-4.4558206460989,0.99999587299366
102,-4.4558216304467,0.99999633694926
103,-4.4558225034413,0.99999674873414
104,-4.455823277687,0.99999711421632
105,-4.4558239643606,0.9999974386036
106,-4.4558245733733,0.99999772651789
107,-4.4558251135136,0.99999798206116
108,-4.4558255925748,0.99999820887391
109,-4.4558260174679,0.9999984101871
110,-4.4558263943215,0.99999858886828
111,-4.4558267285702,0.99999874746241
112,-4.4558270250335,0.99999888822822
113,-4.4558272879854,0.99999901317038
114,-4.4558275212162,0.99999912406807
115,-4.4558277280872,0.99999922250041
116,-4.4558279115792,0.9999993098689
117,-4.4558280743358,0.99999938741741
118,-4.4558282187017,0.99999945624996
119,-4.455828346756,0.9999995173464
120,-4.4558284603428,0.9999995715764
121,-4.4558285610976,0.99999961971185
122,-4.4558286504707,0.99999966243784
123,-4.4558287297486,0.99999970036241
124,-4.4558288000723,0.99999973402528
125,-4.4558288624536,0.99999976390545
126,-4.4558289177901,0.99999979042808
127,-4.4558289668778,0.99999981397053
128,-4.4558290104226,0.99999983486775
129,-4.4558290490508,0.99999985341702
130,-4.4558290833179,0.99999986988221
131,-4.4558291137164,0.99999988449753
132,-4.4558291406834,0.99999989747085
133,-4.4558291646063,0.9999999089867
134,-4.455829185829,0.99999991920884
135,-4.4558292046564,0.99999992828264
136,-4.4558292213591,0.99999993633714
137,-4.4558292361768,0.99999994348686
138,-4.4558292493225,0.99999994983347
139,-4.4558292609849,0.99999995546719
140,-4.4558292713314,0.99999996046811
141,-4.4558292805106,0.99999996490733
142,-4.4558292886543,0.99999996884795
143,-4.4558292958793,0.99999997234598
144,-4.4558293022894,0.99999997545114
