s,k,Infidelity
0.05,100,0.0036469332860151
0.1,100,8.1203806523433e-07
0.15,100,1.3121481678979e-10
0.2,95,8.8151708155237e-14
0.25,75,9.3924867883288e-14
0.3,62,8.2267526124724e-14
0.35,53,5.8619775700208e-14
0.4,46,4.9293902293357e-14
0.45,40,6.7390537594747e-14
0.5,36,4.0301095793893e-14
0.55,32,7.1276318180935e-14
0.6,41,8.5043083686287e-14
0.65,65,9.1482377229113e-14
0.7,100,8.0157436244122e-11
0.75,100,0.0011867154387843
0.8,100,0.074426708675159
0.85,100,0.13119156989226
0.9,100,0.18181129018863
0.95,100,0.22726235908683
1,100,0.26832597492414
1.05,100,0.30563479097343
1.1,100,0.3397066891806
1.15,100,0.37096974422591
1.2,100,0.39978094746334
1.25,100,0.42644043804044
1.3,100,0.4512024508759
