eps,k,Infidelity
0.01,4,0.0042026585311185
0.001,6,0.00061856165907492
0.0001,8,9.2458415348884e-05
1e-05,11,5.3621745252919e-06
1e-06,13,8.0362875332085e-07
1e-07,16,4.6627344763017e-08
1e-08,18,6.9881977982078e-09
1e-09,21,4.0546366264493e-10
1e-10,23,6.0768723386673e-11
1e-11,25,9.1073815156051e-12
1e-12,28,5.286882043265e-13
1e-13,30,7.9269923958236e-14
1e-14,33,4.6629367034257e-15
1e-15,35,8.8817841970013e-16
1e-16,38,0
