g,N,E0,E1,gap,xi_gap,xi_corr,m_corr,i0,comp_i,comp_j,r,corr,abs_corr,log_abs_corr,rMin,rMax
0.6,50,-26.81411816258,nan,nan,nan,25.110566767502,0.039823872127577,12,2,2,1,0.10776807487344,0.10776807487344,-2.2277738158211,1,24
0.6,50,-26.81411816258,nan,nan,nan,25.110566767502,0.039823872127577,12,2,2,2,0.1019909451872,0.1019909451872,-2.2828712423129,1,24
0.6,50,-26.81411816258,nan,nan,nan,25.110566767502,0.039823872127577,12,2,2,3,0.095872305615343,0.095872305615343,-2.344738122789,1,24
0.6,50,-26.81411816258,nan,nan,nan,25.110566767502,0.039823872127577,12,2,2,4,0.090138084818982,0.090138084818982,-2.406412508684,1,24
0.6,50,-26.81411816258,nan,nan,nan,25.110566767502,0.039823872127577,12,2,2,5,0.084993868398514,0.084993868398514,-2.4651761615819,1,24
0.6,50,-26.81411816258,nan,nan,nan,25.110566767502,0.039823872127577,12,2,2,6,0.080441333880668,0.080441333880668,-2.5202271319095,1,24
0.6,50,-26.81411816258,nan,nan,nan,25.110566767502,0.039823872127577,12,2,2,7,0.076413936723989,0.076413936723989,-2.5715901815925,1,24
0.6,50,-26.81411816258,nan,nan,nan,25.110566767502,0.039823872127577,12,2,2,8,0.072832994696911,0.072832994696911,-2.6195862025957,1,24
0.6,50,-26.81411816258,nan,nan,nan,25.110566767502,0.039823872127577,12,2,2,9,0.069623964408072,0.069623964408072,-2.6646464546971,1,24
0.6,50,-26.81411816258,nan,nan,nan,25.110566767502,0.039823872127577,12,2,2,10,0.066729634427043,0.066729634427043,-2.7071061304715,1,24
0.6,50,-26.81411816258,nan,nan,nan,25.110566767502,0.039823872127577,12,2,2,11,0.064095115079261,0.064095115079261,-2.7473871257713,1,24
0.6,50,-26.81411816258,nan,nan,nan,25.110566767502,0.039823872127577,12,2,2,12,0.061681304093562,0.061681304093562,-2.7857744070588,1,24
0.6,50,-26.81411816258,nan,nan,nan,25.110566767502,0.039823872127577,12,2,2,13,0.059455167502292,0.059455167502292,-2.8225327378013,1,24
0.6,50,-26.81411816258,nan,nan,nan,25.110566767502,0.039823872127577,12,2,2,14,0.057389270157965,0.057389270157965,-2.8578979241763,1,24
0.6,50,-26.81411816258,nan,nan,nan,25.110566767502,0.039823872127577,12,2,2,15,0.055462961444354,0.055462961444354,-2.8920398423775,1,24
0.6,50,-26.81411816258,nan,nan,nan,25.110566767502,0.039823872127577,12,2,2,16,0.053655919153995,0.053655919153995,-2.9251634869326,1,24
0.6,50,-26.81411816258,nan,nan,nan,25.110566767502,0.039823872127577,12,2,2,17,0.051955493748621,0.051955493748621,-2.9573678163328,1,24
0.6,50,-26.81411816258,nan,nan,nan,25.110566767502,0.039823872127577,12,2,2,18,0.050346237704118,0.050346237704118,-2.9888313854671,1,24
0.6,50,-26.81411816258,nan,nan,nan,25.110566767502,0.039823872127577,12,2,2,19,0.04881895849035,0.04881895849035,-3.0196365479124,1,24
0.6,50,-26.81411816258,nan,nan,nan,25.110566767502,0.039823872127577,12,2,2,20,0.047362639075736,0.047362639075736,-3.0499215662314,1,24
0.6,50,-26.81411816258,nan,nan,nan,25.110566767502,0.039823872127577,12,2,2,21,0.045967795285076,0.045967795285076,-3.0798142301776,1,24
0.6,50,-26.81411816258,nan,nan,nan,25.110566767502,0.039823872127577,12,2,2,22,0.044625902975707,0.044625902975707,-3.1094408043373,1,24
0.6,50,-26.81411816258,nan,nan,nan,25.110566767502,0.039823872127577,12,2,2,23,0.043331102959646,0.043331102959646,-3.1388845886813,1,24
0.6,50,-26.81411816258,nan,nan,nan,25.110566767502,0.039823872127577,12,2,2,24,0.04207584513284,0.04207584513284,-3.168281452765,1,24
0.65,50,-20.977896908022,nan,nan,nan,14.406568218761,0.06941278344816,12,2,2,1,0.10506926338467,0.10506926338467,-2.2531354950163,1,24
0.65,50,-20.977896908022,nan,nan,nan,14.406568218761,0.06941278344816,12,2,2,2,0.095374692415853,0.095374692415853,-2.3499420143803,1,24
0.65,50,-20.977896908022,nan,nan,nan,14.406568218761,0.06941278344816,12,2,2,3,0.085903307875902,0.085903307875902,-2.4545329422828,1,24
0.65,50,-20.977896908022,nan,nan,nan,14.406568218761,0.06941278344816,12,2,2,4,0.077567348567111,0.077567348567111,-2.5566087062275,1,24
0.65,50,-20.977896908022,nan,nan,nan,14.406568218761,0.06941278344816,12,2,2,5,0.07043813267589,0.07043813267589,-2.6530205051335,1,24
0.65,50,-20.977896908022,nan,nan,nan,14.406568218761,0.06941278344816,12,2,2,6,0.06435358528193,0.06435358528193,-2.7433626311551,1,24
0.65,50,-20.977896908022,nan,nan,nan,14.406568218761,0.06941278344816,12,2,2,7,0.05912148194944,0.05912148194944,-2.8281609358526,1,24
0.65,50,-20.977896908022,nan,nan,nan,14.406568218761,0.06941278344816,12,2,2,8,0.054575694203859,0.054575694203859,-2.9081666564464,1,24
0.65,50,-20.977896908022,nan,nan,nan,14.406568218761,0.06941278344816,12,2,2,9,0.050584837183691,0.050584837183691,-2.9841034079972,1,24
0.65,50,-20.977896908022,nan,nan,nan,14.406568218761,0.06941278344816,12,2,2,10,0.047047427303595,0.047047427303595,-3.0565990944969,1,24
0.65,50,-20.977896908022,nan,nan,nan,14.406568218761,0.06941278344816,12,2,2,11,0.043885485742371,0.043885485742371,-3.1261716344709,1,24
0.65,50,-20.977896908022,nan,nan,nan,14.406568218761,0.06941278344816,12,2,2,12,0.041038187582274,0.041038187582274,-3.1932522413201,1,24
