s,k,Infidelity
0.3,39,8.778977544921e-12
0.35,33,6.9446670636353e-12
0.4,28,8.6830542755933e-12
0.45,25,3.9344083546666e-12
0.5,22,3.6128877667352e-12
0.55,19,7.232658916223e-12
0.6,17,6.3706817599041e-12
0.65,16,1.7583712264013e-12
0.7,16,6.9282357628708e-12
0.75,19,4.6369574846494e-12
0.8,23,3.957056904369e-12
0.85,28,6.1495253333987e-12
0.9,36,7.528866419193e-12
