s,k,Infidelity
0.13,180,9.7362118367528e-12
0.135,174,8.715139721005e-12
0.14,168,8.5101925506592e-12
0.145,162,9.0734086910516e-12
0.15,157,8.4732221239392e-12
0.155,152,8.5152995765725e-12
0.16,147,9.2099661230804e-12
0.165,143,8.4067197647641e-12
0.17,139,8.1342710345211e-12
0.175,135,8.3510975912304e-12
0.18,131,9.0960572407539e-12
0.185,128,7.9884987513879e-12
0.19,124,9.7243324503893e-12
0.195,121,9.4030339070628e-12
0.2,118,9.504619313816e-12
0.205,116,7.3958617008429e-12
0.21,113,8.1131767970533e-12
0.215,110,9.3552943170039e-12
0.22,108,9.8430152917217e-12
0.225,149,9.6487262624123e-12
0.23,270,2.7890245668516e-10
0.235,270,1.3181074847157e-06
0.24,270,0.0051178671478507
0.245,270,0.091648751684035
0.25,270,0.12461028197435
0.255,270,0.15601601195405
