eps,k,Infidelity
0.01,12,0.0073615830471115
0.001,17,0.00087191491907712
0.0001,23,6.6760228934259e-05
1e-05,28,7.8377426958598e-06
1e-06,33,9.200964097289e-07
1e-07,39,7.037197169435e-08
1e-08,44,8.2611022467205e-09
1e-09,49,9.6978691743743e-10
1e-10,55,7.4172445962972e-11
1e-11,60,8.70770122674e-12
1e-12,66,6.6613381477509e-13
1e-13,71,7.8381745538536e-14
1e-14,76,9.3258734068513e-15
1e-15,82,4.4408920985006e-16
1e-16,93,0
