eps,k,Infidelity
0.01,4,0.0021300540493346
0.001,5,0.00022349665026711
0.0001,6,4.7766971746577e-05
1e-05,8,6.047859523739e-06
1e-06,10,9.0191571122666e-07
1e-07,13,5.2322888910439e-08
1e-08,15,7.8418036508765e-09
1e-09,18,4.5499137790728e-10
1e-10,20,6.8191452484712e-11
1e-11,23,3.957056904369e-12
1e-12,25,5.9396931817446e-13
1e-13,27,8.8817841970013e-14
1e-14,30,5.5511151231258e-15
1e-15,33,6.6613381477509e-16
