eps,k,Infidelity
0.01,14,0.0072501334731055
0.001,19,0.00081801260455439
0.0001,24,9.1623548620912e-05
1e-05,30,6.617003544096e-06
1e-06,35,7.4046225229107e-07
1e-07,40,8.2859341277164e-08
1e-08,45,9.2721339495228e-09
1e-09,51,6.6955418986936e-10
1e-10,56,7.4924733084458e-11
1e-11,61,8.3844042819692e-12
1e-12,66,9.3858254501811e-13
1e-13,72,6.8167693711985e-14
1e-14,77,7.9936057773011e-15
1e-15,85,4.4408920985006e-16
