s,k,Infidelity
0.05,100,0.0036469332860151
0.1,100,8.1203806523433e-07
0.15,100,1.3121481678979e-10
0.2,82,8.7829743478096e-12
0.25,65,8.5721429954333e-12
0.3,54,6.8816063958366e-12
0.35,46,5.9515725681081e-12
0.4,40,5.0597304124267e-12
0.45,35,5.6735727227419e-12
0.5,31,6.325051593592e-12
0.55,28,5.4789506265251e-12
0.6,32,9.6307406494134e-12
0.65,51,8.7189144792887e-12
0.7,100,8.0157436244122e-11
0.75,100,0.0011867154387843
0.8,100,0.074426708675159
0.85,100,0.13119156989226
0.9,100,0.18181129018863
0.95,100,0.22726235908683
1,100,0.26832597492414
1.05,100,0.30563479097343
1.1,100,0.3397066891806
1.15,100,0.37096974422591
1.2,100,0.39978094746334
1.25,100,0.42644043804044
1.3,100,0.4512024508759
