g,g_squared,m_corr,m,difference
0.6,0.36,0.01726974811111,0.01394029771618246,0.0033294503949275415
0.7,0.49,0.10277534178713,0.0612980785305041,0.04147726325662591
0.8,0.64,0.33079580044249,0.1928938225357638,0.13790197790672623
0.9,0.81,0.62616257048011,0.38519283596081344,0.2409697345192966
1.0,1.0,0.95861210870904,0.6133966018773145,0.3452155068317255
1.1,1.21,1.2787768919403,0.8659248045522714,0.4128520873880286
1.2,1.44,1.6432404707641,1.1369740579119298,0.5062664128521701
1.3,1.69,1.9398938796562,1.4240067605880637,0.5158871190681362
