g,E0,E1,gap
1.5,1.6
3,60,60
-0.015652516229257,2.0871060673046,2.1027585835339
-0.023474901493482,2.0573193864557,2.0807942879492
-0.031297286780028,2.037082212607,2.068379499387
-0.039119672066869,2.0215941075209,2.0607137795878
-0.046942057353712,2.0087185799875,2.0556606373412
-0.054764442640556,1.9973942540773,2.0521586967178
-0.062586827927398,1.9870478661663,2.0496346940937
-0.070409213214242,1.9773560580589,2.0477652712731
-0.078231598501085,1.9681774384442,2.0464090369453
-0.086053983787928,1.9593249744798,2.0453789582678
-0.093876369074771,1.9508757068494,2.0447520759242
-0.10169875436161,1.9428304773497,2.0445292317113
-0.10952113964846,1.9348582460372,2.0443793856857
-0.1173435249353,1.9270259602751,2.0443694852104
-0.12516591022214,1.9185631022694,2.0437290124916
-0.13298829550899,1.9113325030831,2.0443207985921
-0.14081068079583,1.903662274055,2.0444729548509
-0.14863306608267,1.8953826158858,2.0440156819685
-0.15645545136952,1.887526185355,2.0439816367245
-0.16427783665636,1.8804906515408,2.0447684881972
-0.1721002219432,1.8719566532766,2.0440568752198
-0.17992260723005,1.864754198787,2.0446768060171
-0.18774499251689,1.8565868399563,2.0443318324732
-0.19556737780373,1.8489939016293,2.044561279433
-0.20338976309057,1.8406477664446,2.0440375295352
-0.21121214837742,1.8326112158315,2.0438233642089
-0.21903453366426,1.8251745963539,2.0442091300181
-0.2268569189511,1.8174298008341,2.0442867197852
-0.23467930423795,1.8093135380256,2.0439928422635
-0.24250168952479,1.8012526125967,2.0437543021215
-0.25032407481163,1.7938030581809,2.0441271329925
-0.25814646009848,1.7859237361764,2.0440701962749
-0.26596884538532,1.7778714793382,2.0438403247235
-0.27379123067216,1.7701378135999,2.0439290442721
-0.28161361595901,1.7624134089613,2.0440270249204
-0.28943600124585,1.7550431122337,2.0444791134795
-0.29725838653269,1.7468860215643,2.044144408097
-0.30508077181953,1.7390016597606,2.0440824315801
-0.31290315710638,1.7309953236275,2.0438984807339
-0.32072554239322,1.7239404897553,2.0446660321485
-0.32854792768006,1.7153660274696,2.0439139551496
-0.33637031296691,1.7078085634094,2.0441788763763
-0.34419269825375,1.6997445029518,2.0439372012055
-0.35201508354059,1.6919472014161,2.0439622849567
-0.35983746882743,1.6841301938545,2.0439676626819
-0.36765985411428,1.6763818687886,2.0440417229029
-0.37548223940113,1.6693242157579,2.044806455159
-0.38330462468797,1.6606795288226,2.0439841535105
-0.39112700997481,1.6530419272088,2.0441689371836
-0.39894939526165,1.6451057497012,2.0440551449628
-0.40677178054849,1.6368610569053,2.0436328374538
-0.41459416583534,1.6294353562744,2.0440295221097
-0.42241655112218,1.6217181848786,2.0441347360008
-0.43023893640902,1.6139486480964,2.0441875845054
-0.43806132169587,1.6061351599195,2.0441964816154
-0.44588370698271,1.5983460777118,2.0442297846945
-0.45370609226955,1.5901818191741,2.0438879114436
-0.4615284775564,1.5823431884007,2.0438716659571
-0.010750984431145,2.4178890652555,2.4286400496867
-0.01612480922624,2.3930564687316,2.4091812779578
-0.021498634024349,2.3767139578312,2.3982125918556
-0.026872458822487,2.3645813868755,2.391453845698
-0.032246283620625,2.3547593744123,2.3870056580329
-0.037620108418762,2.3463067673779,2.3839268757967
-0.0429939332169,2.3387221686083,2.3817161018252
-0.048367758015038,2.3317240311434,2.3800917891584
-0.053741582813176,2.3253216230923,2.3790632059055
-0.059115407611313,2.3192070605406,2.3783224681519
-0.064489232409451,2.3139348156775,2.378424048087
-0.069863057207589,2.3085842022962,2.3784472595038
-0.075236882005727,2.3030640008601,2.3783008828658
-0.080610706803865,2.2978359549186,2.3784466617224
-0.085984531602002,2.2920070654274,2.3779915970294
-0.091358356400141,2.2869849806984,2.3783433370985
-0.096732181198278,2.2819362178617,2.37866839906
-0.10210600599642,2.2761068745882,2.3782128805846
-0.10747983079455,2.2709232737605,2.3784031045551
-0.11285365559269,2.2657550351478,2.3786086907405
-0.11822748039083,2.2597856896504,2.3780131700413
-0.12360130518897,2.2549808196628,2.3785821248518
