g,g_squared,m_corr,gap,difference
0.45,0.2025,0.012815051084704,0.055164873372261,-0.042349822287557
0.5,0.25,0.014012804777785,0.071291043022823,-0.057278238245038006
0.55,0.3025,0.012442626559898,0.091774149206394,-0.079331522646496
0.6,0.36,0.01726974811111,0.11830918748224,-0.10103943937113
0.65,0.4225,0.041658925785081,0.15297675612645,-0.11131783034136901
0.7,0.49,0.10277534178713,0.19784444710247,-0.09506910531534
0.75,0.5625,0.20204192373388,0.25439532605951,-0.05235340232562999
0.8,0.64,0.33079580044249,0.32312790023362,0.007667900208870038
0.85,0.7225,0.47637070736882,0.40357510947413,0.07279559789468998
0.9,0.81,0.62616257048011,0.49464464485549,0.13151792562462006
0.95,0.9025,0.79457014890333,0.59501089808307,0.19955925082026005
1.0,1.0,0.95861210870904,0.70339080209994,0.25522130660910003
1.05,1.1025,1.1213432306298,0.81868358174657,0.30265964888322994
1.1,1.21,1.2787768919403,0.94001606663809,0.33876082530220997
1.15,1.3225,1.4345549188949,1.0667359313344,0.3678189875605
1.2,1.44,1.6432404707641,1.1983810385492,0.4448594322149
1.25,1.5625,1.7935178305701,1.3346413074991,0.45887652307100013
1.3,1.69,1.9398938796562,1.4753218832585,0.46457199639769997
